Name,Type 1,Type 2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed
Bulbasaur,Grass,Poison,318,45,49,49,65,65,45
Ivysaur,Grass,Poison,405,60,62,63,80,80,60
Venusaur,Grass,Poison,525,80,82,83,100,100,80
VenusaurMega Venusaur,Grass,Poison,625,80,100,123,122,120,80
Charmander,Fire,None,309,39,52,43,60,50,65
Charmeleon,Fire,None,405,58,64,58,80,65,80
Charizard,Fire,Flying,534,78,84,78,109,85,100
CharizardMega Charizard X,Fire,Dragon,634,78,130,111,130,85,100
CharizardMega Charizard Y,Fire,Flying,634,78,104,78,159,115,100
Squirtle,Water,None,314,44,48,65,50,64,43
Wartortle,Water,None,405,59,63,80,65,80,58
Blastoise,Water,None,530,79,83,100,85,105,78
BlastoiseMega Blastoise,Water,None,630,79,103,120,135,115,78
Caterpie,Bug,None,195,45,30,35,20,20,45
Metapod,Bug,None,205,50,20,55,25,25,30
Butterfree,Bug,Flying,395,60,45,50,90,80,70
Weedle,Bug,Poison,195,40,35,30,20,20,50
Kakuna,Bug,Poison,205,45,25,50,25,25,35
Beedrill,Bug,Poison,395,65,90,40,45,80,75
BeedrillMega Beedrill,Bug,Poison,495,65,150,40,15,80,145
Pidgey,Normal,Flying,251,40,45,40,35,35,56
Pidgeotto,Normal,Flying,349,63,60,55,50,50,71
Pidgeot,Normal,Flying,479,83,80,75,70,70,101
PidgeotMega Pidgeot,Normal,Flying,579,83,80,80,135,80,121
Rattata,Normal,None,253,30,56,35,25,35,72
Raticate,Normal,None,413,55,81,60,50,70,97
Spearow,Normal,Flying,262,40,60,30,31,31,70
Fearow,Normal,Flying,442,65,90,65,61,61,100
Ekans,Poison,None,288,35,60,44,40,54,55
Arbok,Poison,None,438,60,85,69,65,79,80
Pikachu,Electric,None,320,35,55,40,50,50,90
Raichu,Electric,None,485,60,90,55,90,80,110
Sandshrew,Ground,None,300,50,75,85,20,30,40
Sandslash,Ground,None,450,75,100,110,45,55,65
Nidoran♀,Poison,None,275,55,47,52,40,40,41
Nidorina,Poison,None,365,70,62,67,55,55,56
Nidoqueen,Poison,Ground,505,90,92,87,75,85,76
Nidoran♂,Poison,None,273,46,57,40,40,40,50
Nidorino,Poison,None,365,61,72,57,55,55,65
Nidoking,Poison,Ground,505,81,102,77,85,75,85
Clefairy,Fairy,None,323,70,45,48,60,65,35
Clefable,Fairy,None,483,95,70,73,95,90,60
Vulpix,Fire,None,299,38,41,40,50,65,65
Ninetales,Fire,None,505,73,76,75,81,100,100
Jigglypuff,Normal,Fairy,270,115,45,20,45,25,20
Wigglytuff,Normal,Fairy,435,140,70,45,85,50,45
Zubat,Poison,Flying,245,40,45,35,30,40,55
Golbat,Poison,Flying,455,75,80,70,65,75,90
Oddish,Grass,Poison,320,45,50,55,75,65,30
Gloom,Grass,Poison,395,60,65,70,85,75,40
Vileplume,Grass,Poison,490,75,80,85,110,90,50
Paras,Bug,Grass,285,35,70,55,45,55,25
Parasect,Bug,Grass,405,60,95,80,60,80,30
Venonat,Bug,Poison,305,60,55,50,40,55,45
Venomoth,Bug,Poison,450,70,65,60,90,75,90
Diglett,Ground,None,265,10,55,25,35,45,95
Dugtrio,Ground,None,405,35,80,50,50,70,120
Meowth,Normal,None,290,40,45,35,40,40,90
Persian,Normal,None,440,65,70,60,65,65,115
Psyduck,Water,None,320,50,52,48,65,50,55
Golduck,Water,None,500,80,82,78,95,80,85
Mankey,Fighting,None,305,40,80,35,35,45,70
Primeape,Fighting,None,455,65,105,60,60,70,95
Growlithe,Fire,None,350,55,70,45,70,50,60
Arcanine,Fire,None,555,90,110,80,100,80,95
Poliwag,Water,None,300,40,50,40,40,40,90
Poliwhirl,Water,None,385,65,65,65,50,50,90
Poliwrath,Water,Fighting,510,90,95,95,70,90,70
Abra,Psychic,None,310,25,20,15,105,55,90
Kadabra,Psychic,None,400,40,35,30,120,70,105
Alakazam,Psychic,None,500,55,50,45,135,95,120
AlakazamMega Alakazam,Psychic,None,590,55,50,65,175,95,150
Machop,Fighting,None,305,70,80,50,35,35,35
Machoke,Fighting,None,405,80,100,70,50,60,45
Machamp,Fighting,None,505,90,130,80,65,85,55
Bellsprout,Grass,Poison,300,50,75,35,70,30,40
Weepinbell,Grass,Poison,390,65,90,50,85,45,55
Victreebel,Grass,Poison,490,80,105,65,100,70,70
Tentacool,Water,Poison,335,40,40,35,50,100,70
Tentacruel,Water,Poison,515,80,70,65,80,120,100
Geodude,Rock,Ground,300,40,80,100,30,30,20
Graveler,Rock,Ground,390,55,95,115,45,45,35
Golem,Rock,Ground,495,80,120,130,55,65,45
Ponyta,Fire,None,410,50,85,55,65,65,90
Rapidash,Fire,None,500,65,100,70,80,80,105
Slowpoke,Water,Psychic,315,90,65,65,40,40,15
Slowbro,Water,Psychic,490,95,75,110,100,80,30
